PAC,NAME,SHAPE_Leng,SHAPE_Area,Sheng,Shi,ShengName,ShiName,Area
350722,浦城县,371.959500059,3443.98627913,35,3507,福建省,南平市,3374711382.568607
350782,武夷山市,333.203755353,2865.98875157,35,3507,福建省,南平市,2801843180.638406
350122,连江县,8.55937083701,1.90724349505,35,3501,福建省,福州市,1838047.885920
350122,连江县,2.45705131023,0.358311725779,35,3501,福建省,福州市,345393.988407
350921,霞浦县,4.48524371767,0.883491234768,35,3509,福建省,宁德市,854455.822471
350982,福鼎市,18.5172073485,6.49206845805,35,3509,福建省,宁德市,6326364.888485
350122,连江县,16.5483060568,4.61376821722,35,3501,福建省,福州市,4456878.396369
350921,霞浦县,17.4850913015,12.9653246783,35,3509,福建省,宁德市,12546364.319530
350921,霞浦县,4.2104781057,1.04745300771,35,3509,福建省,宁德市,1013362.354936
350921,霞浦县,5.24258417307,1.6249978561,35,3509,福建省,宁德市,1571738.589076
350921,霞浦县,4.15586459619,1.01984707511,35,3509,福建省,宁德市,985928.361169
350921,霞浦县,14.8684668364,8.09233480287,35,3509,福建省,宁德市,7823571.428693
350921,霞浦县,3.4828539992,0.418841992985,35,3509,福建省,宁德市,405906.910167
350921,霞浦县,6.46082380909,1.76972518071,35,3509,福建省,宁德市,1715390.194376
350921,霞浦县,5.28028168842,1.73316614448,35,3509,福建省,宁德市,1678885.141651
350921,霞浦县,2.75524175207,0.492554351874,35,3509,福建省,宁德市,477151.233085
350921,霞浦县,5.01306808416,1.58935924491,35,3509,福建省,宁德市,1539853.901611
350921,霞浦县,4.69463224917,1.54731950827,35,3509,福建省,宁德市,1502398.097143
350921,霞浦县,5.79089736183,1.21489212528,35,3509,福建省,宁德市,1178459.931975
350921,霞浦县,3.90902920742,0.446096948722,35,3509,福建省,宁德市,432845.367208
350921,霞浦县,10.8177379928,2.76584509432,35,3509,福建省,宁德市,2686988.217117
350982,福鼎市,21.8393543886,22.3980493761,35,3509,福建省,宁德市,21767177.661866
350982,福鼎市,3.59801062483,0.658350705472,35,3509,福建省,宁德市,639937.781626
350982,福鼎市,8.97211661092,4.08644939496,35,3509,福建省,宁德市,3970495.466027
350982,福鼎市,2.52235835321,0.425814130188,35,3509,福建省,宁德市,415087.947781
350982,福鼎市,4.70043928568,1.00438233851,35,3509,福建省,宁德市,977820.697309
350982,福鼎市,4.73548345786,1.13743216722,35,3509,福建省,宁德市,1106737.419271
350982,福鼎市,6.47870498787,1.30986791514,35,3509,福建省,宁德市,1274319.756047
350982,福鼎市,414.43580119,1487.70644786,35,3509,福建省,宁德市,1449747780.497213
350926,柘荣县,145.737923232,553.925638375,35,3509,福建省,宁德市,539412102.318879
350624,诏安县,247.526718153,1353.61335217,35,3506,福建省,漳州市,1266137423.587403
350622,云霄县,216.577531906,1091.92851148,35,3506,福建省,漳州市,1022794184.518010
350681,龙海市,6.14788122889,1.39414498239,35,3506,福建省,漳州市,1311864.418269
350527,金门县,4.64067753913,0.705731978911,35,3505,福建省,泉州市,664553.795760
350681,龙海市,4.88202354565,0.964366395914,35,3506,福建省,漳州市,908135.340857
350681,龙海市,9.69969979758,4.52387724311,35,3506,福建省,漳州市,4260450.053363
350527,金门县,19.8556390824,15.8591362405,35,3505,福建省,泉州市,14941897.586232
350203,思明区,5.86057307703,2.12363264816,35,3502,福建省,厦门市,2000988.877219
